Номенклатура.Артикул;Остаток
8423-1008344-20;1
8423-1009059;1
8423-1307010-20;28
8423-1308012-01;2
8423-3701774-01;1
8424-1104426-20;3
8437-1308652;15
8481-1005115;2
8481-1307010-13;2
8481-3509260;6
8481-3509280-10;1
8486-1307010-13;2
8486-1307155;2
8531-1005115;3
8802.10037;1
135.1111282;20
136.111115;35
16.1111005;5
17.1111150-01;64
175.1110406-11;2
175.1110412;1
175.1111005-40;3
175.1111005-70;2
175.1111130-04;3
175.1111150-11;34
179.1111005-10;1
179.1111005-20;1
181.1112010-11;23
181.1112110-02;44
182.1112010-10;12
185.1110125-10;1
185.1111005-30;1
236-1106210-А2;41
236-1106240-В;98
236-1106288-В;3
236-1110045;20
236-1112208;14
240-1106210;1
240Н-1110878;2
26.1112010-04;65
26.1112010-13;25
261.1112010-13;41
262.1112010-04;62
263.1112010-04;38
267.1112010-01;60
267.1112010-11;6
267.1112010-20;7
271.1112110-01;48
273.1112110-20;14
273.1112110-30;211
316700-П;49
323.110601;20
323.111118;1
324.1111150-01;100
33.1106232-02;1
33.1111074-01.01;116
