art;pr
238НБТ-1017010-А4;3594.12
240Т-1017010-Б2;6283
240НТ-1017010-Б2;7190.68
240-1017015-Б2;4983.7
240Н-1017015-Б2;5150.84
240-1017031-А;1034.56
240-1017076-А;2440
238НБ-1017078;1593.32
238Н-1017088;34.16
238НБ-1017108-Г;2436.34
238НБ-1017110-Б;267.18
201-1017112;93.94
240-1017127-А2;268.4
238Н-1017140;2299.7
240Н-1017140-Г;1830
238НБ-1017143;101.25999999999999
238НБ-1017144;101.25999999999999
238Н-1017146;2196
238Н-1017153;26.84
240Н-1017159-Б;172.02
240Н-1017208-Г;1349.32
238Н-1017216;267.18
240Н-1017218;778.36
240Н-1017222-Б;2171.6
238Н-1017243;156.16
240-1017286;300.12
240-1017290;4.88
240-1017292;68.32
240-1017293-Б2;723.46
240Н-1017310-Б;1888.56
240Н-1017314-Б;956.48
240Н-1017315;203.74
236-1022815;71.98
238Ф-1022815;80.52
240Н-1022815;74.42
236-1022826-Г;944.28
238Н-1022826-Б;1054.08
240Н-1022826;1110.2
840.1022826;789.34
238Н-1022838;263.52
238-1022840;1512.8
238Н-1022840;1504.26
840.1022840;1237.08
240Н-1022843;1382.26
238-1022850;420.9
840.1022870;1306.62
236-1028010-А;8956.02
236-1028020;2200.88
236-1028020-Б;2013
236-1028031-А2;1127.28
840.1028062;200.07999999999998
840.1028087;147.62
840.1028088;218.38
240-1028094;749.0799999999999
240-1028101;2558.34
240-1028108-А;2036.18
236-1028160;190.32
236-1028180;3922.2999999999997
236-1028184;1836.1
236-1028196;93.94
236-1028238;93.94
236М2-1029002;10818.96
7511.1029002-02;24735.5
658.1029002;25968.92
236-1029034;427
840.1029034;392.84
240-1029074-А;3129.2999999999997
240-1029078;541.68
850.1029078;662.46
850.1029083;3878.38
240-1029084;1699.46
240-1029104-А;3026.8199999999997
850.1029104;12868.56
240-1029116;2624.22
7511.1029116-10;3264.72
236-1029120-В;6159.78
240-1029120;4803.14
7511.1029120-10;23421.559999999998
236-1029122-А;2426.58
240-1029122;2879.2
7511.1029122;5447.3
236-1029123;333.06
7511.1029123;251.32
840.1029140;938.18
236-1029154-Б2;1534.76
236-1029154-В;1886.12
7511.1029154-10;8133.74
236-1029172;1644.56
840.1029176-10;6396.46
240-1029220-Б;7540.82
240-1029221;5792.5599999999995
240-1029222;4274.88
240-1029228-А;1221.22
240Б-1029248-А;2315.56
236-1029260-В4;1626.26
236-1029260-Г;1916.62
7511.1029262;7244.36
236-1029264-Г;1073.6
7511.1029264;2858.46
236-1029265;254.98
236-1029268-Г;976
7511.1029268-10;3677.08
236-1029274;170.79999999999998
840.1029274-10;222.04
240-1029284-В;68.32
236-1029286-Б2;982.1
236-1029300-А;3220.7999999999997
236-1029300-Б;3292.7799999999997
240-1029300-А2;3586.7999999999997
240Б-1029334;6775.88
240-1029338;285.48
240-1029346;162.26
240-1029347;418.46
850.1029347;1198.04
850.1029401;5614.44
7511.1029590;119.56
8401.1030230;41586.14
8401.1030248;34.16
240-1104294-А;352.58
240-1104300-Б;1123.62
240-1104306;1801.94
7511.1104306-20;1864.1599999999999
236-1104308-В;1903.2
236-1104308-Г1;1982.5
236-1104308-Д;1708
236НЕ-1104308-А;1870.26
236НЕ-1104310-А;924.76
236НЕ-1104312-А;924.76
236НЕ-1104314-А;924.76
