art;pr
337.1111180;1285.8799999999999
337.1111181;1083.36
337.1111184;1361.52
337.1111220-21;600.24
337.1111220-21.01;600.24
337.1111220-40;692.96
337.1111220-40.01;692.96
337.1111228-01;128.1
337.1111234;111.02
337.1111256-10;329.4
338.1110176;53.68
338.1111140-20;1823.8999999999999
338.1111140-30;1671.3999999999999
338.1111148;75.64
338.1111149;157.38
339.1111122;170.79999999999998
339.1111123;12.2
339.1111124;162.26
356-75086;69.53999999999999
363.1111022;30902.6
363.1111028-01;4200.46
363.1111028-03;6113.42
363.1111032;151.28
363.1111055-10;16084.48
363.1111074-01;1855.62
47.1111074-20;7102.84
363.1111076-01;141.52
363.1111184;1218.78
363.1111330-10;2982.9
363.1111332-10;2505.88
37.1106031;283.04
37.1106170;70.76
37.1106182;326.96
37.1106316;273.28
37.1106327;75.64
37.1106328;356.24
37.1111110;1673.84
37.1111114;1105.32
37.1111115;25.62
37.1111122;173.24
37.1111124;157.38
37.1111134;147.62
37.1111137;20.74
37.1111140;645.38
37.1111144;143.96
37.1111267;176.9
37.1111380;143.96
37.1111381;179.34
37.1111382;125.66
37.1111383;122
37.1111384;90.28
37.1111385;117.12
37.1111386;120.78
37.1111387;135.42
37.1111388;47.58
37.1111389;122
37.1111390;125.66
37.1111930;43.92
37.1111936;21.96
37.1111940-01;168.35999999999999
37.1111942-01;156.16
37.1133010;1337.12
37.1133010-01;739.3199999999999
37.1141024;1888.56
37.1141040;406.26
37.1141074;187.88
37.1141079;164.7
37.1141342;75.64
42.1106221;20.74
42.1106244-10;176.9
42.1110380-13;484.34
42.1110380-22;586.8199999999999
42.1111032;233.01999999999998
42.1111063-10;901.5799999999999
42.1111077;883.28
42.1111078;119.56
42.1111079;85.39999999999999
42.1111080;119.56
42.1111082;135.42
42.1111087;85.39999999999999
42.1111090-01;594.14
42.1111134;76.86
42.1111135;313.54
42.1111163;157.38
42.1111176;24.4
42.1111181-04;1383.48
42.1111186;702.72
42.1111228-01;120.78
42.1111230;15.86
42.1111237;85.39999999999999
42.1111239;52.46
42.1111256;284.26
42.1111257;134.2
42.1111280;162.26
42.1111332-11;5017.86
42.1111386;52.46
42.1111387;102.48
42.1111412-01;256.2
42.1111414;122
42.1111414-10;85.39999999999999
42.1111902;265.96
42.1111905;223.26
421.1110414;114.67999999999999
421.1110786-10;885.72
421.1110800;1337.12
421.1110802;108.58
421.1110826-20;102.48
421.1110828-11;168.35999999999999
421.1110830;290.36
421.1110869;162.26
421.1110869-10;156.16
421.1110877-01;777.14
421.1110881;150.06
421.1110894;575.84
421.1110894-10;605.12
421.1110895-01;61
421.1110897-01;290.36
421.1110899;735.66
421.1110905;57.339999999999996
