Номенклатура;Остатки
842.1103373-20 Трубка дренажная FP74-133-RF01 (CAMOZZI);4
842.1104361 Трубка форсунки дренажная (дв. ТМЗ-8486.10-04 под форсунку АЗПИ);34
842.1104373 Трубка дренжаная (аналог);10
842.1104373-10 Трубка дренажная (а);44
842.1104373-10 Трубка дренажная (ТМЗ);6
842.1104382-10 Трубка отводящая (ТМЗ);4
842.1104384-10 Трубка отводящая;3
842.1111570-01 Трубка отвода масла;4
842.1121010-30 Муфта опережения впрыска топлива;
842.1303104 Труба водяная правая;
842.1303104 Труба водяная правая  (б/у, пескоструй);1
842.1303105-10 Труба водяная левая;2
842.1303130 Патрубок;5
842.1303130 Патрубок (бу, пескоструй);1
842.1303166-10 Патрубок;3
842.1303168-21 Патрубок подводящий правого блока;1
842.1305008 Кран сливной ВМР ТМЗ;
842.1307155 Натяжное устройство;1
842.1319062 Прокладка;2
842.3708722-10 Скоба крепления стартера;7
8421.1004002 Комплект поршневых колец (Federal-Mogul);
"8421.1005128-01 Пластина (D=14,5; d=74,5; l=3)";3
8421.1008042-20 Труба правая (б/у, пескоструй);5
8421.1008043-10 Труба левая (б/у, пескоструй);5
8421.1008045 Прокладка;8
8421.1008088 Сильфон газопровода;4
8421.1008504 Болт М12х1,25х90;10
8421.1011014 Насос масляный (ТМЗ);7
8421.1014145 Кронштейн крепления трубы;6
8421.1014149 Труба отвода газов;3
8421.1104410 Трубка подводящая ТННД;5
8421.1104422 Трубка отводящая;4
8421.1109030 Прокладка бункера;6
"8421.1109080-03 Элемент ФОВ DIFA-4342М (сдвоеный) МАЗ(дв. ТМЗ-8421,-8481,-8423; ЯМЗ-7511,-238ДЕ2-1 )";1
8421.1111538-10 Трубка подвода (камоцци);
8421.1118220 Трубка подвода масла (ТМЗ);1
8421.1118246 Патрубок;1
8421.1118248 Патрубок;2
8421.2000005-10 К-т для ремонта дв. ТМЗ 8421-8486 (металл силикон);4
8423.1002314 Прокладка картера маховика;
8423.1002314-02 Прокладка картера маховика (армир.);
8423.1005010 Вал коленчатый;
8423.1005010 Вал коленчатый Р2 (б/у);1
8423.1005061-20 Шкив коленвала;2
8423.1008025 Коллектор выпускной передний правый;4
8423.1008026 Коллектор выпускной передний левый;2
8423.1008029 Коллктор вып.прав.задний;2
8423.1008030 Коллектор выпускной;3
8423.1008042-10 Труба подводящая правая;2
8423.1008043-10 Труба подводящая левая;2
8423.1008344-20 Патрубок соединительный;2
8423.1008346-20 Патрубок соединительный;
8423.1008504 Болт М12х1,25х125;6
8423.1009010-11 Картер масляный;
8423.1009050-20 Указатель уровня масла;5
8423.1009059 Трубка указателя;1
8423.1009130 Патрубок маслоналивной с крышкой в сборе;1
8423.1011151 Кольцо 032-038-36-2-1 (сил.);20
8423.1011151 Кольцо 032-038-36-2-1 (рез.);6
8423.1011400-20 Труба всасывающая с фланцем;3
8423.1013308 Кольцо уплотнительное (ВМР);9
8423.1014100 Сапун в сборе;2
8423.1014138 Патрубок;14
8423.1014182 Корпус сапуна (ТМЗ);1
8423.1104005 Комплект крепления трубки ВД к ГБ;36
8423.1104370-10 Трубка дренажная (а);27
